Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
61.300000,-178.000000,2022-05,fishing,1,1.00
42.800000,132.800000,2022-05,trawlers,1,0.71
57.600000,150.300000,2022-05,fixed_gear,1,0.79
57.400000,150.200000,2022-05,fixed_gear,1,1.00
58.100000,153.200000,2022-05,trawlers,2,1.99
58.000000,153.300000,2022-05,trawlers,1,0.99
59.600000,166.800000,2022-05,trawlers,1,1.00
57.900000,163.500000,2022-05,trawlers,1,1.01
60.700000,172.400000,2022-05,fixed_gear,1,0.47
61.100000,179.600000,2022-05,fishing,1,1.00
60.900000,179.800000,2022-05,set_longlines,1,0.57
55.300000,143.000000,2022-05,trawlers,1,1.05
55.300000,143.400000,2022-05,trawlers,1,1.00
55.100000,143.500000,2022-05,trawlers,1,1.00
55.200000,143.600000,2022-05,trawlers,2,2.04
53.600000,144.100000,2022-05,trawlers,1,1.15
52.400000,144.100000,2022-05,trawlers,1,0.98
50.800000,144.700000,2022-05,trawlers,1,1.00
50.900000,145.400000,2022-05,fishing,1,0.96
49.900000,141.300000,2022-05,set_longlines,1,0.30
54.000000,155.500000,2022-05,trawlers,2,1.99
52.900000,155.600000,2022-05,trawlers,1,0.94
52.800000,155.500000,2022-05,other_purse_seines,1,1.00
52.800000,155.700000,2022-05,fishing,3,2.91
52.800000,155.700000,2022-05,purse_seines,2,2.02
52.700000,155.800000,2022-05,fishing,1,0.97
52.400000,155.700000,2022-05,fishing,1,0.99
52.400000,155.800000,2022-05,fishing,3,2.35
52.400000,155.800000,2022-05,other_purse_seines,2,1.97
52.300000,155.800000,2022-05,fishing,1,1.01
51.700000,155.200000,2022-05,trawlers,1,0.98
52.200000,156.100000,2022-05,other_purse_seines,1,0.75
50.800000,156.100000,2022-05,trawlers,1,0.98
50.400000,153.700000,2022-05,set_longlines,1,0.12
48.900000,154.200000,2022-05,trawlers,1,1.07
50.200000,156.600000,2022-05,set_longlines,1,0.90
49.500000,155.000000,2022-05,trawlers,1,1.03
49.800000,155.600000,2022-05,trawlers,1,1.02
48.000000,139.900000,2022-05,trawlers,1,0.70
48.400000,140.600000,2022-05,fishing,1,0.19
47.600000,139.900000,2022-05,fishing,1,0.20
48.600000,142.800000,2022-05,set_longlines,1,0.04
46.700000,141.400000,2022-05,fishing,1,0.87
46.700000,141.500000,2022-05,fishing,1,0.06
48.900000,154.300000,2022-05,trawlers,1,0.96
48.100000,154.600000,2022-05,trawlers,1,0.42
47.300000,152.600000,2022-05,trawlers,1,0.89
